dog_ID,dog_cdl_name,first_bucket_A,fam_phase_2_first_trial_type,fam_phase_3_first_trial_type,condition,breed,sex,castrated,FCI_group,birthdate,test_date,age_months,experience_in_dog_sport,hider,communicator,nr_fam_phase1_trials,nr_fam_phase2_trials,nr_fam_phase3_trials,no_choice_trials,tot_nr_fam_trials,choice_letter,choice_colour,notes
18,Saphira4,blue,no_displacement,no_displacement,control,german_shepherd,f,yes,1,11/09/2021,23/10/2024,37,"therapiebegleithund, id_tracking, agility",GR,CH,2,2,2,no,6,B,grey,sausages
19,Loomis,blue,displacement,no_displacement,control,golden_retriever,m,no,8,24/09/2020,25/10/2024,49,"mantrailing, cognitive_tasks",GR,VB,4,2,2,no,8,B,grey,sausages
20,Destino,grey,no_displacement,no_displacement,knowledge,border_collie,m,no,1,21/01/2020,12/10/2024,56,,VB,CH,2,2,2,no,6,A,grey,
21,Jaguar,grey,no_displacement,no_displacement,knowledge,dutch_shepherd,m,yes,1,08/12/2014,18/10/2024,118,no,GR,VB,3,2,2,no,7,B,blue,sausages
22,Ivy-Infinity,blue,displacement,displacement,false_belief,labrador_retriever,f,yes,8,14/05/2020,20/10/2024,53,mantrailing,GR,VB,2,2,2,no,6,A,blue,
23,Fortuna,blue,no_displacement,no_displacement,false_belief,labrador_retriever,f,yes,8,05/05/2017,24/10/2024,89,diabetes_alert_dog,GR,CH,2,3,2,no,7,B,grey,sausages
24,Savvy,blue,displacement,displacement,control,labrador_retriever,f,yes,8,,,0,,GR,VB,2,2,2,no,6,B,grey,
25,Daisy5,blue,no_displacement,no_displacement,knowledge,golden_retriever,f,no,8,15/05/2020,19/10/2024,53,,GR,VB,3,2,2,no,7,B,grey,sausages
26,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
27,Thor3,blue,no_displacement,no_displacement,knowledge,welsh_corgi_pembroke,m,yes,1,30/10/2021,19/10/2024,35,tricktraining,GR,VB,4,2,2,no,8,A,blue,
28,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
29,Frida3,blue,no_displacement,no_displacement,knowledge,australian_shepherd,f,no,1,07/03/2021,22/10/2024,43,"agility, obedience",GR,VB,2,4,2,no,8,B,grey,sausages
30,Emma12,blue,no_displacement,no_displacement,false_belief,labrador_retriever,f,,8,08/10/2018,26/10/2024,72,"agility, mantrailing, tricks, therapy assistance",VB,CH,2,2,2,no,6,A,blue,
31,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
32,Bonja,grey,displacement,displacement,knowledge,schnauzer,f,no,2,12/03/2016,24/10/2024,103,hunting,GR,CH,2,2,2,no,6,B,blue,sausages
33,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
34,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
35,Ivy6,blue,displacement,displacement,knowledge,australian_shepherd,f,yes,1,01/06/2021,26/10/2024,40,"agility, therapiebegleithund",VB,CH,4,2,2,no,8,A,blue,
36,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
37,Heidi6,blue,displacement,displacement,knowledge,labrador_retriever,f,yes,8,21/10/2022,27/10/2024,24,,,,,,,,0,,,
38,,grey,no_displacement,displacement,false_belief,,,,,,,0,no,,,,,,,0,,,
39,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
40,Balou3,blue,no_displacement,no_displacement,knowledge,brittany_spaniel,m,yes,7,3/2/2016,28/10/2024,104,no,CH,GR,2,2,2,no,6,B,grey,
41,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
42,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
43,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
44,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
45,Chomsky,grey,displacement,no_displacement,false_belief,rottweiler,m,yes,2,17/12/2015,16/10/2024,105,no,VB,CH,2,2,2,no,6,A,grey,
46,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
47,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
48,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
49,Zazou3,grey,displacement,no_displacement,knowledge,labrador_retriever,f,,8,23/06/2019,07/10/2024,63,"therapy dog, search_training",VB,LL,2,3,3,no,8,A,grey,
50,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
51,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
52,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
53,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
54,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
55,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
56,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
57,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
58,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
59,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
60,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
61,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
62,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
63,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
64,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
65,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
66,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
67,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
68,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
69,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
70,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
71,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
72,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
73,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
74,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
75,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
76,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
77,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
78,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
79,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
80,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
81,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
82,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
83,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
84,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
85,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
86,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
87,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
88,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
89,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
90,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
91,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
92,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
93,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
94,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
95,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
96,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
97,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
98,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
99,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
100,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
101,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
102,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
103,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
104,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
105,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
106,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
107,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
108,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
109,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
110,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
111,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
112,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
113,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
114,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
115,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
116,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
117,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
118,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
119,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
120,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
121,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
122,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
123,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
124,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
125,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
126,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
127,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
128,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
129,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
130,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
131,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
132,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
133,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
134,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
135,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
136,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
137,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
138,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
139,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
140,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
141,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
142,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
143,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
144,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
145,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
146,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
147,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
148,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
149,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
150,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
151,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
152,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
153,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
154,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
155,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
156,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
157,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
158,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
159,,blue,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
160,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
161,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
162,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
163,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
164,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
165,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
166,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
167,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
168,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
169,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
170,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
171,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
172,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
173,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
174,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
175,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
176,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
177,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
178,,grey,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
179,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
180,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
181,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
182,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
183,,blue,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
184,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
185,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
186,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
187,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
188,,grey,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
189,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
190,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
191,,blue,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
192,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
193,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
194,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
195,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
196,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
197,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
198,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
199,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
200,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
201,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
202,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
203,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
204,,grey,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
205,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
206,,grey,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
207,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
208,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
209,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
210,,grey,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
211,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
212,,grey,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
213,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
214,,blue,displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
215,,blue,no_displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
216,,blue,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
217,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
218,,blue,displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
219,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
220,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
221,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
222,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
223,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
224,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
225,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
226,,blue,displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
227,,blue,no_displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
228,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
229,,grey,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
230,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
231,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
232,,grey,no_displacement,no_displacement,false_belief,,,,,,,0,,,,,,,,0,,,
233,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
234,,blue,displacement,displacement,knowledge,,,,,,,0,,,,,,,,0,,,
235,,blue,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
236,,grey,displacement,displacement,false_belief,,,,,,,0,,,,,,,,0,,,
237,,grey,no_displacement,no_displacement,knowledge,,,,,,,0,,,,,,,,0,,,
238,,grey,no_displacement,no_displacement,control,,,,,,,0,,,,,,,,0,,,
239,,grey,displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
240,,blue,no_displacement,displacement,control,,,,,,,0,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Avg. age. Ctr,2.929824561,,,,,,,,,,
,,,,,,,,,,,,Avg. age. FB,14.12359551,,,,,,,,,,
,,,,,,,,,,,,Avg. age. KNOW,9.829268293,,,,,,,,,,
